1,санкт-петербург,комсомолов,1,лесная
2,санкт-петербург,кима,6,василеостровская
3,москва,ленинская,3,зеленая
4,москва,смоленская,19,девяткино
5,москва,ростовская,21,кубчино
6,томск,моховая,4,первое
7,томск,кузнецкий мост,90,второе
8,новгород,неглинная,11,старое
9,новгород,трубная,7,новое
10,новгород,олимпийская,9,владимир
11,новгород,октябрьская,3,центральное
12,краснодар,деинцев,31,крайнее
13,краснодар,бутырская,23,веселое
14,краснодар,башиловская,5,грустное
15,краснодар,лиловая,89,достроенное
